�枆��~���-�Found Controller, configured successful
Try out all the buttons, X will vibrate the controller, faster as you press harder;
holding L1 or R1 will print out the analog stick values.
Go to www.billporter.info for updates and to report bugs.
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
Right Joystick X: 128
Right Joystick Y: 128
Left Joystick X: 128
Left Joystick Y: 128
